"eventID","siteID","fsp_end_date","cfc_start_date","days_difference","within_31_days"
"fsp.GUAN.2022_Leaf","GUAN",2022-10-21,2022-10-17,4,TRUE
"fsp.STER.2022_Leaf","STER",2022-07-25,2022-07-19,6,TRUE
