"spectralSampleID","spectralSampleCode","wavelength","reflectanceCondition","reflectance"
"FSP_GUAN_20221021_1708",NA,417,"top of foliage (sunward) on white reference",0.066975619701291
"FSP_GUAN_20221021_1708",NA,418,"top of foliage (sunward) on white reference",0.067065266103434
"FSP_GUAN_20221021_1708",NA,419,"top of foliage (sunward) on white reference",0.0672148877780113
"FSP_GUAN_20221021_1708",NA,420,"top of foliage (sunward) on white reference",0.0665942930355212
"FSP_GUAN_20221021_1708",NA,421,"top of foliage (sunward) on white reference",0.0665693512707275
"FSP_GUAN_20221021_1708",NA,422,"top of foliage (sunward) on white reference",0.0668311880829883
"FSP_GUAN_20221021_1708",NA,423,"top of foliage (sunward) on white reference",0.0666850470422769
"FSP_GUAN_20221021_1708",NA,424,"top of foliage (sunward) on white reference",0.0665209083647056
"FSP_GUAN_20221021_1708",NA,425,"top of foliage (sunward) on white reference",0.0660320581295699
"FSP_GUAN_20221021_1708",NA,426,"top of foliage (sunward) on white reference",0.0656245623808157
"FSP_GUAN_20221021_1708",NA,427,"top of foliage (sunward) on white reference",0.0662276293560165
"FSP_GUAN_20221021_1708",NA,428,"top of foliage (sunward) on white reference",0.0663407247978694
"FSP_GUAN_20221021_1708",NA,429,"top of foliage (sunward) on white reference",0.0661361538670236
"FSP_GUAN_20221021_1708",NA,430,"top of foliage (sunward) on white reference",0.0658844211896729
"FSP_GUAN_20221021_1708",NA,431,"top of foliage (sunward) on white reference",0.0654782223941302
"FSP_GUAN_20221021_1708",NA,432,"top of foliage (sunward) on white reference",0.065487489696445
"FSP_GUAN_20221021_1708",NA,433,"top of foliage (sunward) on white reference",0.065648927560455
"FSP_GUAN_20221021_1708",NA,434,"top of foliage (sunward) on white reference",0.0654211057640047
"FSP_GUAN_20221021_1708",NA,435,"top of foliage (sunward) on white reference",0.064773474906602
"FSP_GUAN_20221021_1708",NA,436,"top of foliage (sunward) on white reference",0.0646911494061943
"FSP_GUAN_20221021_1708",NA,437,"top of foliage (sunward) on white reference",0.0650834129435573
"FSP_GUAN_20221021_1708",NA,438,"top of foliage (sunward) on white reference",0.0647809772042356
"FSP_GUAN_20221021_1708",NA,439,"top of foliage (sunward) on white reference",0.0648300365562119
"FSP_GUAN_20221021_1708",NA,440,"top of foliage (sunward) on white reference",0.0649555413851239
"FSP_GUAN_20221021_1708",NA,441,"top of foliage (sunward) on white reference",0.064909371245196
"FSP_GUAN_20221021_1708",NA,442,"top of foliage (sunward) on white reference",0.0651664774185705
"FSP_GUAN_20221021_1708",NA,443,"top of foliage (sunward) on white reference",0.0652689348606515
"FSP_GUAN_20221021_1708",NA,444,"top of foliage (sunward) on white reference",0.0652618146061779
"FSP_GUAN_20221021_1708",NA,445,"top of foliage (sunward) on white reference",0.065426478188423
"FSP_GUAN_20221021_1708",NA,446,"top of foliage (sunward) on white reference",0.0655306866081101
"FSP_GUAN_20221021_1708",NA,447,"top of foliage (sunward) on white reference",0.0657545658716756
"FSP_GUAN_20221021_1708",NA,448,"top of foliage (sunward) on white reference",0.0661345776555311
"FSP_GUAN_20221021_1708",NA,449,"top of foliage (sunward) on white reference",0.0664862882325612
"FSP_GUAN_20221021_1708",NA,450,"top of foliage (sunward) on white reference",0.0667778056097154
"FSP_GUAN_20221021_1708",NA,451,"top of foliage (sunward) on white reference",0.0670080089625306
"FSP_GUAN_20221021_1708",NA,452,"top of foliage (sunward) on white reference",0.0672242669210652
"FSP_GUAN_20221021_1708",NA,453,"top of foliage (sunward) on white reference",0.0675062058632474
"FSP_GUAN_20221021_1708",NA,454,"top of foliage (sunward) on white reference",0.0678596358362482
"FSP_GUAN_20221021_1708",NA,455,"top of foliage (sunward) on white reference",0.0681743309294361
"FSP_GUAN_20221021_1708",NA,456,"top of foliage (sunward) on white reference",0.0682925075792252
"FSP_GUAN_20221021_1708",NA,457,"top of foliage (sunward) on white reference",0.0682309132539236
"FSP_GUAN_20221021_1708",NA,458,"top of foliage (sunward) on white reference",0.0681918114022175
"FSP_GUAN_20221021_1708",NA,459,"top of foliage (sunward) on white reference",0.0682774663887754
"FSP_GUAN_20221021_1708",NA,460,"top of foliage (sunward) on white reference",0.068342019241686
"FSP_GUAN_20221021_1708",NA,461,"top of foliage (sunward) on white reference",0.0685807275919487
"FSP_GUAN_20221021_1708",NA,462,"top of foliage (sunward) on white reference",0.0687085956167011
"FSP_GUAN_20221021_1708",NA,463,"top of foliage (sunward) on white reference",0.0684957782626407
"FSP_GUAN_20221021_1708",NA,464,"top of foliage (sunward) on white reference",0.0684669314066642
"FSP_GUAN_20221021_1708",NA,465,"top of foliage (sunward) on white reference",0.0683372316083891
"FSP_GUAN_20221021_1708",NA,466,"top of foliage (sunward) on white reference",0.0682056325103893
"FSP_GUAN_20221021_1708",NA,467,"top of foliage (sunward) on white reference",0.0684390010746257
"FSP_GUAN_20221021_1708",NA,468,"top of foliage (sunward) on white reference",0.068583485113838
"FSP_GUAN_20221021_1708",NA,469,"top of foliage (sunward) on white reference",0.0685805018345504
"FSP_GUAN_20221021_1708",NA,470,"top of foliage (sunward) on white reference",0.0685096946767518
"FSP_GUAN_20221021_1708",NA,471,"top of foliage (sunward) on white reference",0.0685991164022402
"FSP_GUAN_20221021_1708",NA,472,"top of foliage (sunward) on white reference",0.0688684979410119
"FSP_GUAN_20221021_1708",NA,473,"top of foliage (sunward) on white reference",0.0690720297631429
"FSP_GUAN_20221021_1708",NA,474,"top of foliage (sunward) on white reference",0.0689595838134867
"FSP_GUAN_20221021_1708",NA,475,"top of foliage (sunward) on white reference",0.0690708197054211
"FSP_GUAN_20221021_1708",NA,476,"top of foliage (sunward) on white reference",0.0691857222294399
"FSP_GUAN_20221021_1708",NA,477,"top of foliage (sunward) on white reference",0.0692332530569513
"FSP_GUAN_20221021_1708",NA,478,"top of foliage (sunward) on white reference",0.0693936998928784
"FSP_GUAN_20221021_1708",NA,479,"top of foliage (sunward) on white reference",0.0695619077081657
"FSP_GUAN_20221021_1708",NA,480,"top of foliage (sunward) on white reference",0.0697222640491508
"FSP_GUAN_20221021_1708",NA,481,"top of foliage (sunward) on white reference",0.0698856877838769
"FSP_GUAN_20221021_1708",NA,482,"top of foliage (sunward) on white reference",0.0700743575766251
"FSP_GUAN_20221021_1708",NA,483,"top of foliage (sunward) on white reference",0.0701773716254056
"FSP_GUAN_20221021_1708",NA,484,"top of foliage (sunward) on white reference",0.070304367423441
"FSP_GUAN_20221021_1708",NA,485,"top of foliage (sunward) on white reference",0.0706441857841952
"FSP_GUAN_20221021_1708",NA,486,"top of foliage (sunward) on white reference",0.0708700417474826
"FSP_GUAN_20221021_1708",NA,487,"top of foliage (sunward) on white reference",0.0711168430780329
"FSP_GUAN_20221021_1708",NA,488,"top of foliage (sunward) on white reference",0.0714795775651128
"FSP_GUAN_20221021_1708",NA,489,"top of foliage (sunward) on white reference",0.0718938838893825
"FSP_GUAN_20221021_1708",NA,490,"top of foliage (sunward) on white reference",0.072327288270599
"FSP_GUAN_20221021_1708",NA,491,"top of foliage (sunward) on white reference",0.0727239350503409
"FSP_GUAN_20221021_1708",NA,492,"top of foliage (sunward) on white reference",0.0731074982132271
"FSP_GUAN_20221021_1708",NA,493,"top of foliage (sunward) on white reference",0.0738985721482376
"FSP_GUAN_20221021_1708",NA,494,"top of foliage (sunward) on white reference",0.0747016298462484
"FSP_GUAN_20221021_1708",NA,495,"top of foliage (sunward) on white reference",0.0754605702074136
"FSP_GUAN_20221021_1708",NA,496,"top of foliage (sunward) on white reference",0.0764225576697196
"FSP_GUAN_20221021_1708",NA,497,"top of foliage (sunward) on white reference",0.0773689435086414
"FSP_GUAN_20221021_1708",NA,498,"top of foliage (sunward) on white reference",0.0783580778945589
"FSP_GUAN_20221021_1708",NA,499,"top of foliage (sunward) on white reference",0.0794534839371097
"FSP_GUAN_20221021_1708",NA,500,"top of foliage (sunward) on white reference",0.0806089353209781
"FSP_GUAN_20221021_1708",NA,501,"top of foliage (sunward) on white reference",0.0819181373311901
"FSP_GUAN_20221021_1708",NA,502,"top of foliage (sunward) on white reference",0.0833595977947145
"FSP_GUAN_20221021_1708",NA,503,"top of foliage (sunward) on white reference",0.0848771913492208
"FSP_GUAN_20221021_1708",NA,504,"top of foliage (sunward) on white reference",0.0865022991186972
"FSP_GUAN_20221021_1708",NA,505,"top of foliage (sunward) on white reference",0.0883925750448211
"FSP_GUAN_20221021_1708",NA,506,"top of foliage (sunward) on white reference",0.0905624607970349
"FSP_GUAN_20221021_1708",NA,507,"top of foliage (sunward) on white reference",0.0928195702280414
"FSP_GUAN_20221021_1708",NA,508,"top of foliage (sunward) on white reference",0.094998545546474
"FSP_GUAN_20221021_1708",NA,509,"top of foliage (sunward) on white reference",0.0973479984757808
"FSP_GUAN_20221021_1708",NA,510,"top of foliage (sunward) on white reference",0.100056121711528
"FSP_GUAN_20221021_1708",NA,511,"top of foliage (sunward) on white reference",0.102796882454285
"FSP_GUAN_20221021_1708",NA,512,"top of foliage (sunward) on white reference",0.10577553840883
"FSP_GUAN_20221021_1708",NA,513,"top of foliage (sunward) on white reference",0.108911682976672
"FSP_GUAN_20221021_1708",NA,514,"top of foliage (sunward) on white reference",0.111990007811985
"FSP_GUAN_20221021_1708",NA,515,"top of foliage (sunward) on white reference",0.115392861750562
"FSP_GUAN_20221021_1708",NA,516,"top of foliage (sunward) on white reference",0.118963463104375
"FSP_GUAN_20221021_1708",NA,517,"top of foliage (sunward) on white reference",0.122567393946874
"FSP_GUAN_20221021_1708",NA,518,"top of foliage (sunward) on white reference",0.126257102870109
"FSP_GUAN_20221021_1708",NA,519,"top of foliage (sunward) on white reference",0.130010494916611
