"siteID","cfc_start_date"
"ABBY",2022-07-21
"BARR",2022-07-25
"BART",2022-08-01
"GUAN",2022-10-17
"JORN",2022-08-29
"KONZ",2022-05-23
"MOAB",2022-05-10
"ORNL",2022-05-16
"SCBI",2022-05-16
"STEI",2022-06-06
"STER",2022-07-19
"TOOL",2022-07-25
