"uid","startDate","siteID","eventID","sampleType","instrument","foreopticConnection","foreopticType","fieldSpectrometerSettings","lightSource","measurementQuantity","measurementUnits","wavelengthIncrement","samplingProtocolVersion","remarks","dataQF","publicationDate","release","dpID","dpName","tableName","domainID","year","duplicateRecordQF"
"652d43cc-75b6-4f5b-aa06-4299cf43fbfb",2022-07-19,"STER","fsp.STER.2022_Leaf","Leaf","ASD FieldSpec 3 Serial No 16427","Leaf Clip","Bare Fiber","Bare Fiber","lamp","Raw Digital Number","DN",1,"NEON.DOC.005214vA",NA,NA,"20250107T232738Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_boutMetadata_pub","STE","2022",0
"14f84f58-4adf-4e7d-9730-8f7a699d67bc",2022-10-17,"GUAN","fsp.GUAN.2022_Leaf","Leaf","ASD FieldSpec 3 Serial No 16427","Leaf Clip","Bare Fiber","Bare Fiber","lamp","Raw Digital Number","DN",1,"NEON.DOC.005214vA",NA,NA,"20241118T013955Z","RELEASE-2025","DP1.30012.001","Field spectral","fsp_boutMetadata_pub","GUA","2022",0
