"eventID","first_date","last_date","duration_days","exceeds_30_days"
"fsp.GUAN.2022_Leaf",2022-10-17,2022-10-21,4,FALSE
"fsp.STER.2022_Leaf",2022-07-19,2022-07-25,6,FALSE
