"uid","startDate","siteID","eventID","sampleType","instrument","foreopticConnection","foreopticType","fieldSpectrometerSettings","lightSource","measurementQuantity","measurementUnits","wavelengthIncrement","samplingProtocolVersion","remarks","dataQF","publicationDate","release"
"652d43cc-75b6-4f5b-aa06-4299cf43fbfb",2022-07-19,"STER","fsp.STER.2022_Leaf","Leaf","ASD FieldSpec 3 Serial No 16427","Leaf Clip","Bare Fiber","Bare Fiber","lamp","Raw Digital Number","DN",1,"NEON.DOC.005214vA",NA,NA,"20250107T232738Z","RELEASE-2025"
"4d4d7588-8dcd-4c77-93f7-b7702b4305fa",2022-07-19,"STER","fsp.STER.2022_Leaf","Leaf","ASD FieldSpec 3 Serial No 16427","Leaf Clip","Bare Fiber","Bare Fiber","lamp","Raw Digital Number","DN",1,"NEON.DOC.005214vA",NA,NA,"20250107T232738Z","RELEASE-2025"
"14f84f58-4adf-4e7d-9730-8f7a699d67bc",2022-10-17,"GUAN","fsp.GUAN.2022_Leaf","Leaf","ASD FieldSpec 3 Serial No 16427","Leaf Clip","Bare Fiber","Bare Fiber","lamp","Raw Digital Number","DN",1,"NEON.DOC.005214vA",NA,NA,"20241118T013955Z","RELEASE-2025"
